origen,destino,tipo
CE1101,CE1104,requisito
CE1101,CE1104,correquisito
CE1101,CE1103,requisito
CE1104,CE1103,requisito
MA1403,CE1103,requisito
CE1104,CE1105,requisito
CS1502,CI1403,correquisito
MA1102,FI1101,requisito
FI1101,EL2113,requisito
MA1102,EL2113,requisito
FI1201,FI1202,correquisito
FI1101,FI1102,requisito
MA1102,FI1102,correquisito
FI1201,FI1202,requisito
MA1102,MA1103,requisito
CE1103,CE2103,requisito
CE1105,CE2103,requisito
CS2101,CS2101,correquisito
CI1403,CS2101,requisito
FI1101,EL2113,requisito
FI1102,FI1202,correquisito
FI1201,FI1202,correquisito
MA1102,FI1102,correquisito
CE2103,CE1112,requisito
CE1109,CE1112,requisito
CE1110,CE1112,correquisito
CE2201,CE3201,requisito
CE1107,CE3201,correquisito
CE1107,CE4301,requisito
CE3201,CE4301,correquisito
CE1107,CE4301,requisito
CE3201,CE4301,correquisito
CE1117,CE1114,correquisito
CE5301,CE1115,requisito
CE1114,CE1117,requisito
CE4303,CE1116,requisito
CE1116,CE5301,requisito
CE1116,CE4303,requisito
CE1116,PI5516,requisito
CE4302,CE4303,correquisito
EL2113,EL2207,correquisito
EL2114,EL2207,correquisito
CE1116,CE5301,requisito
CE1116,CE4303,requisito
CE1116,PI5516,requisito
CE4302,CE4303,correquisito
CS3404,CS2101,requisito
AE4208,CE1114,requisito
CE1112,CE1114,requisito
CE1113,CE1114,requisito
AE4208,CE1114,requisito
CE1112,CE1114,requisito
CE1113,CE1114,requisito
CE1114,CE5601,requisito
CE1115,CE5601,requisito
CE1117,CE5601,requisito
CE5801,CE5601,requisito
CE5901,CE5601,requisito
CS4402,CE5601,requisito
